student_id,internship_id,applied,got_offer,skill_overlap_ratio,weighted_skill_match,num_matching_skills,total_required_skills,has_high_value_combination,num_high_value_skills,student_cgpa,student_tier,student_region,student_branch,internship_domain,stipend_score,internship_duration_weeks,duration_score,internship_work_type,location_match,domain_match,branch_match,rural_student_on_site_penalty
S001,INT109,0,0,0.5,0.5,1,2,0,0,8.71,Tier-2,Rural,Biotechnology,Analytics,0.4,16,0.533,Hybrid,0.4,0,0.0,0
S001,INT081,0,0,0.28,0.2,1,5,0,0,8.71,Tier-2,Rural,Biotechnology,Finance,0.72,14,0.467,Remote,0.4,0,0.14,0
S001,INT021,0,0,0.233,0.167,1,6,0,0,8.71,Tier-2,Rural,Biotechnology,Quality Assurance,0.6,6,0.2,Remote,0.4,0,0.0,0
S002,INT006,1,0,0.6,0.342,1,3,0,1,7.81,Tier-1,Urban,Civil Engineering,DevOps,0.32,8,0.267,On-site,0.4,0,0.0,0
S002,INT010,0,0,0.367,0.095,1,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Web Development,0.2,14,0.467,Remote,0.4,0,0.14,0
S002,INT022,0,0,0.067,0.0,0,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Product Management,0.32,12,0.4,On-site,0.4,0,0.0,0
S002,INT025,1,1,0.467,0.333,2,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Testing,0.72,18,0.6,Remote,0.4,0,0.0,0
S002,INT028,0,0,0.133,0.0,0,3,0,0,7.81,Tier-1,Urban,Civil Engineering,CI/CD,0.6,28,0.933,Remote,0.7,0,0.0,0
S002,INT034,1,1,0.267,0.0,0,3,0,0,7.81,Tier-1,Urban,Civil Engineering,AI,0.2,4,0.133,Remote,0.4,0,0.0,0
S002,INT038,1,1,0.233,0.167,1,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Security,0.48,8,0.267,Hybrid,1.0,0,0.0,0
S002,INT041,1,0,0.133,0.0,0,3,0,0,7.81,Tier-1,Urban,Civil Engineering,Cloud Services,0.32,6,0.2,Remote,0.4,0,0.0,0
S002,INT045,1,1,0.5,0.833,1,2,0,0,7.81,Tier-1,Urban,Civil Engineering,DevOps,0.2,6,0.2,Remote,0.4,0,0.0,0
S002,INT048,1,0,0.7,0.5,1,2,0,0,7.81,Tier-1,Urban,Civil Engineering,Machine Learning,0.32,6,0.2,On-site,0.4,0,0.0,0
S002,INT058,0,0,0.2,0.0,0,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Quality Assurance,0.2,20,0.667,On-site,0.4,0,0.0,0
S002,INT063,0,0,0.3,0.0,0,4,0,0,7.81,Tier-1,Urban,Civil Engineering,Web Development,0.48,16,0.533,Remote,0.4,0,0.14,0
S002,INT064,0,0,0.267,0.0,0,3,0,0,7.81,Tier-1,Urban,Civil Engineering,Security,0.32,28,0.933,Hybrid,0.4,0,0.0,0
S002,INT079,0,0,0.8,0.596,2,3,0,1,7.81,Tier-1,Urban,Civil Engineering,Cloud Computing,0.4,30,1.0,Remote,0.4,0,0.18,0
S002,INT088,0,0,0.3,0.167,1,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Analytics,0.48,14,0.467,On-site,0.4,0,0.0,0
S002,INT098,0,0,0.45,0.25,1,4,0,0,7.81,Tier-1,Urban,Civil Engineering,UI/UX Design,0.6,12,0.4,On-site,0.7,0,0.28,0
S002,INT102,0,0,0.2,0.0,0,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Finance,0.32,10,0.333,Hybrid,1.0,0,0.26,0
S002,INT108,0,0,0.2,0.0,0,2,0,0,7.81,Tier-1,Urban,Civil Engineering,Cloud Services,0.6,10,0.333,Hybrid,1.0,0,0.0,0
S002,INT111,0,0,0.3,0.0,0,4,0,0,7.81,Tier-1,Urban,Civil Engineering,Digital Marketing,0.32,22,0.733,On-site,0.4,0,0.0,0
S002,INT113,1,1,0.45,0.25,1,4,0,0,7.81,Tier-1,Urban,Civil Engineering,Design,0.6,8,0.267,Hybrid,0.4,0,0.0,0
S002,INT116,0,0,0.533,0.333,2,6,0,0,7.81,Tier-1,Urban,Civil Engineering,Network Security,0.2,6,0.2,On-site,0.4,0,0.0,0
S002,INT117,0,0,0.4,0.0,0,2,0,0,7.81,Tier-1,Urban,Civil Engineering,Quality Assurance,0.6,10,0.333,Remote,0.4,0,0.0,0
S002,INT119,1,0,0.44,0.2,1,5,0,0,7.81,Tier-1,Urban,Civil Engineering,UI/UX Design,0.48,6,0.2,On-site,0.7,0,0.28,0
S002,INT120,0,0,0.467,0.333,1,3,0,0,7.81,Tier-1,Urban,Civil Engineering,Network Security,0.48,22,0.733,Remote,0.4,0,0.0,0
S002,INT123,1,0,0.36,0.2,1,5,0,0,7.81,Tier-1,Urban,Civil Engineering,Marketing,0.6,4,0.133,Hybrid,0.4,0,0.0,0
S002,INT134,0,0,0.28,0.2,1,5,0,0,7.81,Tier-1,Urban,Civil Engineering,Security,0.6,6,0.2,On-site,0.4,0,0.0,0
S002,INT140,1,0,0.32,0.0,0,5,0,0,7.81,Tier-1,Urban,Civil Engineering,Analytics,0.48,20,0.667,Remote,0.7,0,0.0,0
S002,INT146,0,0,0.2,0.0,0,4,0,0,7.81,Tier-1,Urban,Civil Engineering,Analytics,0.4,18,0.6,Hybrid,0.7,0,0.0,0
S002,INT134,0,0,0.28,0.2,1,5,0,0,7.81,Tier-1,Urban,Civil Engineering,Security,0.6,6,0.2,On-site,0.4,0,0.0,0
S002,INT075,1,0,0.2,0.2,1,5,0,0,7.81,Tier-1,Urban,Civil Engineering,Mobile Development,0.72,20,0.667,Hybrid,1.0,0,0.12,0
S002,INT082,0,0,0.667,0.667,2,3,0,0,7.81,Tier-1,Urban,Civil Engineering,Financial Services,0.48,24,0.8,Hybrid,1.0,0,0.0,0
S003,INT010,1,0,0.367,0.095,1,6,0,0,6.72,Tier-1,Urban,IT,Web Development,0.2,14,0.467,Remote,1.0,1,1.0,0
S003,INT004,0,0,0.4,0.0,0,2,0,0,6.72,Tier-1,Urban,IT,Fintech,0.48,4,0.133,On-site,0.4,0,0.0,0
S003,INT022,0,0,0.367,0.167,1,6,0,0,6.72,Tier-1,Urban,IT,Product Management,0.32,12,0.4,On-site,0.4,0,0.0,0
S004,INT002,0,0,0.4,0.0,0,2,0,0,6.45,Tier-2,Urban,Biotechnology,Software Development,0.6,30,1.0,Remote,0.4,0,0.0,0
S004,INT007,1,0,0.6,0.333,1,3,0,0,6.45,Tier-2,Urban,Biotechnology,Business Analysis,0.2,24,0.8,On-site,0.4,0,0.0,0
S004,INT012,1,0,0.2,0.0,0,4,0,0,6.45,Tier-2,Urban,Biotechnology,Cloud Computing,0.32,6,0.2,Hybrid,0.4,0,0.2,0
S004,INT024,0,0,0.2,0.0,0,6,0,0,6.45,Tier-2,Urban,Biotechnology,Mobile Development,0.2,16,0.533,Remote,0.4,0,0.08,0
S004,INT026,1,0,0.44,0.2,1,5,0,0,6.45,Tier-2,Urban,Biotechnology,Product Management,0.2,14,0.467,On-site,0.4,0,0.0,0
S004,INT062,1,0,0.2,0.0,0,2,0,0,6.45,Tier-2,Urban,Biotechnology,Artificial Intelligence,0.32,22,0.733,Hybrid,1.0,0,0.5,0
S004,INT072,0,0,0.267,0.0,0,3,0,0,6.45,Tier-2,Urban,Biotechnology,Data Engineering,0.2,18,0.6,On-site,0.4,0,0.0,0
S004,INT082,1,0,0.133,0.0,0,3,0,0,6.45,Tier-2,Urban,Biotechnology,Financial Services,0.48,24,0.8,Hybrid,0.4,0,0.0,0
S004,INT090,0,0,0.467,0.333,1,3,0,0,6.45,Tier-2,Urban,Biotechnology,Fintech,0.72,12,0.4,On-site,0.4,0,0.0,0
S004,INT101,0,0,0.267,0.0,0,3,0,0,6.45,Tier-2,Urban,Biotechnology,Database Management,0.72,18,0.6,On-site,0.4,0,0.0,0
S004,INT133,1,0,0.24,0.0,0,5,0,0,6.45,Tier-2,Urban,Biotechnology,App Development,0.32,18,0.6,On-site,0.4,0,0.0,0
S004,INT135,1,0,0.2,0.0,0,4,0,0,6.45,Tier-2,Urban,Biotechnology,Quality Assurance,0.8,30,1.0,On-site,0.4,0,0.0,0
S004,INT138,1,0,0.533,0.333,2,6,0,0,6.45,Tier-2,Urban,Biotechnology,Analytics,0.6,8,0.267,Remote,0.4,0,0.0,0
S004,INT143,0,0,0.32,0.0,0,5,0,0,6.45,Tier-2,Urban,Biotechnology,Marketing,0.72,30,1.0,Remote,0.4,0,0.0,0
S005,INT050,1,0,0.0,0.0,0,5,0,0,7.67,Tier-1,Rural,Chemical Engineering,Software Engineering,0.2,30,1.0,On-site,0.4,0,0.0,1
S005,INT006,0,0,0.467,0.317,1,3,0,1,7.67,Tier-1,Rural,Chemical Engineering,DevOps,0.32,8,0.267,On-site,0.4,0,0.0,1
S005,INT010,1,1,0.2,0.0,0,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Web Development,0.2,14,0.467,Remote,0.4,0,0.1,0
S005,INT022,1,0,0.167,0.167,1,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Product Management,0.32,12,0.4,On-site,0.7,0,0.0,1
S005,INT025,0,0,0.133,0.0,0,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Testing,0.72,18,0.6,Remote,1.0,0,0.0,0
S005,INT028,0,0,0.133,0.0,0,3,0,0,7.67,Tier-1,Rural,Chemical Engineering,CI/CD,0.6,28,0.933,Remote,0.4,0,0.0,0
S005,INT034,0,0,0.267,0.0,0,3,0,0,7.67,Tier-1,Rural,Chemical Engineering,AI,0.2,4,0.133,Remote,0.4,0,0.0,0
S005,INT038,0,0,0.133,0.0,0,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Security,0.48,8,0.267,Hybrid,0.4,0,0.0,0
S005,INT041,0,0,0.133,0.0,0,3,0,0,7.67,Tier-1,Rural,Chemical Engineering,Cloud Services,0.32,6,0.2,Remote,0.4,0,0.0,0
S005,INT045,0,0,0.2,0.0,0,2,0,0,7.67,Tier-1,Rural,Chemical Engineering,DevOps,0.2,6,0.2,Remote,0.4,0,0.0,0
S005,INT048,0,0,0.2,0.0,0,2,0,0,7.67,Tier-1,Rural,Chemical Engineering,Machine Learning,0.32,6,0.2,On-site,1.0,0,0.0,1
S005,INT058,0,0,0.4,0.333,2,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Quality Assurance,0.2,20,0.667,On-site,0.4,0,0.0,1
S005,INT063,0,0,0.2,0.0,0,4,0,0,7.67,Tier-1,Rural,Chemical Engineering,Web Development,0.48,16,0.533,Remote,0.4,0,0.1,0
S005,INT064,0,0,0.467,0.333,1,3,0,0,7.67,Tier-1,Rural,Chemical Engineering,Security,0.32,28,0.933,Hybrid,0.4,0,0.0,0
S005,INT079,1,0,0.467,0.404,1,3,0,1,7.67,Tier-1,Rural,Chemical Engineering,Cloud Computing,0.4,30,1.0,Remote,0.7,0,0.16,0
S005,INT088,1,1,0.133,0.0,0,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Analytics,0.48,14,0.467,On-site,0.4,0,0.0,1
S005,INT098,0,0,0.45,0.25,1,4,0,0,7.67,Tier-1,Rural,Chemical Engineering,UI/UX Design,0.6,12,0.4,On-site,0.4,0,0.12,1
S005,INT102,0,0,0.3,0.506,1,6,0,1,7.67,Tier-1,Rural,Chemical Engineering,Finance,0.32,10,0.333,Hybrid,0.4,0,0.2,0
S005,INT108,0,0,0.2,0.0,0,2,0,0,7.67,Tier-1,Rural,Chemical Engineering,Cloud Services,0.6,10,0.333,Hybrid,0.4,0,0.0,0
S005,INT111,0,0,0.35,0.25,1,4,0,0,7.67,Tier-1,Rural,Chemical Engineering,Digital Marketing,0.32,22,0.733,On-site,0.4,0,0.0,1
S005,INT113,0,0,0.1,0.0,0,4,0,0,7.67,Tier-1,Rural,Chemical Engineering,Design,0.6,8,0.267,Hybrid,0.4,0,0.0,0
S005,INT116,1,0,0.367,0.167,1,6,0,0,7.67,Tier-1,Rural,Chemical Engineering,Network Security,0.2,6,0.2,On-site,0.4,0,0.0,1
S005,INT117,0,0,0.4,0.0,0,2,0,0,7.67,Tier-1,Rural,Chemical Engineering,Quality Assurance,0.6,10,0.333,Remote,0.4,0,0.0,0
S005,INT119,0,0,0.24,0.0,0,5,0,0,7.67,Tier-1,Rural,Chemical Engineering,UI/UX Design,0.48,6,0.2,On-site,0.4,0,0.12,1
S005,INT120,1,0,0.133,0.0,0,3,0,0,7.67,Tier-1,Rural,Chemical Engineering,Network Security,0.48,22,0.733,Remote,0.7,0,0.0,0
S005,INT123,0,0,0.28,0.2,1,5,0,0,7.67,Tier-1,Rural,Chemical Engineering,Marketing,0.6,4,0.133,Hybrid,0.4,0,0.0,0
S005,INT134,1,0,0.16,0.0,0,5,0,0,7.67,Tier-1,Rural,Chemical Engineering,Security,0.6,6,0.2,On-site,0.4,0,0.0,1
S005,INT140,0,0,0.36,0.2,1,5,0,0,7.67,Tier-1,Rural,Chemical Engineering,Analytics,0.48,20,0.667,Remote,0.4,0,0.0,0
S005,INT146,1,1,0.25,0.25,1,4,0,0,7.67,Tier-1,Rural,Chemical Engineering,Analytics,0.4,18,0.6,Hybrid,0.4,0,0.0,0
S005,INT079,0,0,0.467,0.404,1,3,0,1,7.67,Tier-1,Rural,Chemical Engineering,Cloud Computing,0.4,30,1.0,Remote,0.7,0,0.16,0
S006,INT018,1,0,0.25,0.25,1,4,0,0,6.05,Tier-1,Urban,Electrical Engineering,Finance,0.72,16,0.533,Hybrid,0.4,1,0.18,0
S006,INT081,0,0,0.0,0.0,0,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Finance,0.72,14,0.467,Remote,0.4,1,0.18,0
S006,INT013,1,1,0.16,0.0,0,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Analytics,0.48,28,0.933,Hybrid,0.4,0,0.0,0
S006,INT021,0,0,0.367,0.167,1,6,0,0,6.05,Tier-1,Urban,Electrical Engineering,Quality Assurance,0.6,6,0.2,Remote,0.4,0,0.0,0
S006,INT027,1,1,0.1,0.0,0,4,0,0,6.05,Tier-1,Urban,Electrical Engineering,Machine Learning,0.4,16,0.533,Remote,0.4,0,0.0,0
S006,INT029,0,0,0.2,0.0,0,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,Product Management,0.48,20,0.667,Remote,0.4,0,0.0,0
S006,INT032,1,0,0.2,0.2,1,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Database Management,0.8,4,0.133,Hybrid,0.4,0,0.0,0
S006,INT033,1,0,0.2,0.0,0,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,Cloud Computing,0.4,10,0.333,Hybrid,0.4,0,0.26,0
S006,INT044,0,0,0.24,0.0,0,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Cloud Services,0.2,6,0.2,Remote,0.4,0,0.0,0
S006,INT052,0,0,0.267,0.0,0,6,0,0,6.05,Tier-1,Urban,Electrical Engineering,Cloud Computing,0.4,24,0.8,Hybrid,0.4,0,0.26,0
S006,INT054,1,0,0.5,0.5,1,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,App Development,0.48,6,0.2,Remote,0.4,0,0.0,0
S006,INT057,0,0,0.2,0.0,0,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,App Development,0.32,4,0.133,Remote,0.4,0,0.0,0
S006,INT069,1,1,0.267,0.0,0,6,0,0,6.05,Tier-1,Urban,Electrical Engineering,Finance,0.6,4,0.133,On-site,1.0,1,0.18,0
S006,INT106,0,0,0.6,0.6,3,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Network Security,0.72,4,0.133,On-site,0.4,0,0.0,0
S006,INT109,0,0,0.5,0.5,1,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,Analytics,0.4,16,0.533,Hybrid,0.4,0,0.0,0
S006,INT112,0,0,0.5,0.5,1,2,0,0,6.05,Tier-1,Urban,Electrical Engineering,Marketing,0.32,6,0.2,Hybrid,0.4,0,0.0,0
S006,INT148,0,0,0.16,0.0,0,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Testing,0.4,14,0.467,On-site,0.4,0,0.0,0
S006,INT150,0,0,0.267,0.0,0,3,0,0,6.05,Tier-1,Urban,Electrical Engineering,Security,1.0,22,0.733,Remote,0.4,0,0.0,0
S006,INT032,0,0,0.2,0.2,1,5,0,0,6.05,Tier-1,Urban,Electrical Engineering,Database Management,0.8,4,0.133,Hybrid,0.4,0,0.0,0
S006,INT034,0,0,0.467,0.333,1,3,0,0,6.05,Tier-1,Urban,Electrical Engineering,AI,0.2,4,0.133,Remote,0.4,0,0.0,0
S006,INT018,0,0,0.25,0.25,1,4,0,0,6.05,Tier-1,Urban,Electrical Engineering,Finance,0.72,16,0.533,Hybrid,0.4,1,0.18,0
S008,INT062,1,1,0.5,0.842,1,2,0,1,8.75,Tier-1,Urban,Architecture,Artificial Intelligence,0.32,22,0.733,Hybrid,1.0,0,0.22,0
S008,INT006,0,0,0.467,0.342,1,3,0,1,8.75,Tier-1,Urban,Architecture,DevOps,0.32,8,0.267,On-site,0.4,0,0.0,0
S008,INT010,0,0,0.367,0.095,1,6,0,0,8.75,Tier-1,Urban,Architecture,Web Development,0.2,14,0.467,Remote,0.4,0,0.22,0
S008,INT022,1,1,0.367,0.167,1,6,0,0,8.75,Tier-1,Urban,Architecture,Product Management,0.32,12,0.4,On-site,0.4,0,0.0,0
S008,INT025,1,0,0.2,0.0,0,6,0,0,8.75,Tier-1,Urban,Architecture,Testing,0.72,18,0.6,Remote,0.4,0,0.0,0
S008,INT028,1,1,0.267,0.0,0,3,0,0,8.75,Tier-1,Urban,Architecture,CI/CD,0.6,28,0.933,Remote,0.4,0,0.0,0
S008,INT034,0,0,0.267,0.0,0,3,0,0,8.75,Tier-1,Urban,Architecture,AI,0.2,4,0.133,Remote,0.4,0,0.0,0
S008,INT038,1,1,0.433,0.167,1,6,0,0,8.75,Tier-1,Urban,Architecture,Security,0.48,8,0.267,Hybrid,0.4,0,0.0,0
S008,INT041,1,1,0.467,0.333,1,3,0,0,8.75,Tier-1,Urban,Architecture,Cloud Services,0.32,6,0.2,Remote,0.4,0,0.0,0
S008,INT045,1,0,0.4,0.0,0,2,0,0,8.75,Tier-1,Urban,Architecture,DevOps,0.2,6,0.2,Remote,0.4,0,0.0,0
S008,INT048,0,0,0.4,0.0,0,2,0,0,8.75,Tier-1,Urban,Architecture,Machine Learning,0.32,6,0.2,On-site,0.4,0,0.0,0
S008,INT058,0,0,0.433,0.167,1,6,0,0,8.75,Tier-1,Urban,Architecture,Quality Assurance,0.2,20,0.667,On-site,0.4,0,0.0,0
S008,INT063,0,0,0.45,0.636,1,4,0,1,8.75,Tier-1,Urban,Architecture,Web Development,0.48,16,0.533,Remote,0.4,0,0.22,0
S008,INT064,0,0,0.4,0.0,0,3,0,0,8.75,Tier-1,Urban,Architecture,Security,0.32,28,0.933,Hybrid,0.4,0,0.0,0
S008,INT079,0,0,0.267,0.0,0,3,0,0,8.75,Tier-1,Urban,Architecture,Cloud Computing,0.4,30,1.0,Remote,0.4,0,0.14,0
S008,INT088,1,1,0.3,0.167,1,6,0,0,8.75,Tier-1,Urban,Architecture,Analytics,0.48,14,0.467,On-site,0.4,0,0.0,0
S008,INT098,0,0,0.3,0.0,0,4,0,0,8.75,Tier-1,Urban,Architecture,UI/UX Design,0.6,12,0.4,On-site,0.4,0,0.74,0
S008,INT102,1,0,0.133,0.0,0,6,0,0,8.75,Tier-1,Urban,Architecture,Finance,0.32,10,0.333,Hybrid,0.4,0,0.18,0
S008,INT108,1,0,0.4,0.0,0,2,0,0,8.75,Tier-1,Urban,Architecture,Cloud Services,0.6,10,0.333,Hybrid,0.4,0,0.0,0
S008,INT111,0,0,0.6,0.5,2,4,0,0,8.75,Tier-1,Urban,Architecture,Digital Marketing,0.32,22,0.733,On-site,0.4,0,0.0,0
S008,INT113,0,0,0.3,0.0,0,4,0,0,8.75,Tier-1,Urban,Architecture,Design,0.6,8,0.267,Hybrid,0.4,0,1.0,0
S008,INT116,0,0,0.533,0.333,2,6,0,0,8.75,Tier-1,Urban,Architecture,Network Security,0.2,6,0.2,On-site,0.4,0,0.0,0
S008,INT117,0,0,0.4,0.0,0,2,0,0,8.75,Tier-1,Urban,Architecture,Quality Assurance,0.6,10,0.333,Remote,0.4,0,0.0,0
S008,INT119,0,0,0.32,0.0,0,5,0,0,8.75,Tier-1,Urban,Architecture,UI/UX Design,0.48,6,0.2,On-site,0.4,0,0.74,0
S008,INT120,0,0,0.4,0.0,0,3,0,0,8.75,Tier-1,Urban,Architecture,Network Security,0.48,22,0.733,Remote,0.4,0,0.0,0
S008,INT123,1,0,0.76,0.6,3,5,0,0,8.75,Tier-1,Urban,Architecture,Marketing,0.6,4,0.133,Hybrid,0.4,0,0.0,0
S008,INT134,1,0,0.24,0.0,0,5,0,0,8.75,Tier-1,Urban,Architecture,Security,0.6,6,0.2,On-site,0.4,0,0.0,0
S008,INT140,1,0,0.36,0.2,1,5,0,0,8.75,Tier-1,Urban,Architecture,Analytics,0.48,20,0.667,Remote,0.4,0,0.0,0
S008,INT146,1,1,0.3,0.0,0,4,0,0,8.75,Tier-1,Urban,Architecture,Analytics,0.4,18,0.6,Hybrid,0.4,0,0.0,0
S008,INT137,1,1,0.5,0.768,2,4,0,1,8.75,Tier-1,Urban,Architecture,Data Engineering,0.2,12,0.4,On-site,1.0,0,0.0,0
S010,INT010,0,0,0.367,0.095,1,6,0,0,8.78,Tier-1,Urban,AI,Web Development,0.2,14,0.467,Remote,0.4,1,0.34,0
S010,INT006,0,0,0.6,0.342,1,3,0,1,8.78,Tier-1,Urban,AI,DevOps,0.32,8,0.267,On-site,0.4,0,0.0,0
S010,INT010,1,1,0.367,0.095,1,6,0,0,8.78,Tier-1,Urban,AI,Web Development,0.2,14,0.467,Remote,0.4,1,0.34,0
S010,INT022,0,0,0.067,0.0,0,6,0,0,8.78,Tier-1,Urban,AI,Product Management,0.32,12,0.4,On-site,0.4,0,0.0,0
S010,INT025,0,0,0.133,0.0,0,6,0,0,8.78,Tier-1,Urban,AI,Testing,0.72,18,0.6,Remote,0.4,0,0.0,0
S010,INT028,0,0,0.133,0.0,0,3,0,0,8.78,Tier-1,Urban,AI,CI/CD,0.6,28,0.933,Remote,0.4,0,0.0,0
S010,INT034,1,0,0.267,0.0,0,3,0,0,8.78,Tier-1,Urban,AI,AI,0.2,4,0.133,Remote,0.4,0,0.0,0
S010,INT038,0,0,0.133,0.0,0,6,0,0,8.78,Tier-1,Urban,AI,Security,0.48,8,0.267,Hybrid,0.4,0,0.0,0
S010,INT041,0,0,0.333,0.333,1,3,0,0,8.78,Tier-1,Urban,AI,Cloud Services,0.32,6,0.2,Remote,0.4,0,0.0,0
S010,INT045,0,0,0.2,0.0,0,2,0,0,8.78,Tier-1,Urban,AI,DevOps,0.2,6,0.2,Remote,0.4,0,0.0,0
S010,INT048,0,0,0.4,0.0,0,2,0,0,8.78,Tier-1,Urban,AI,Machine Learning,0.32,6,0.2,On-site,0.4,0,1.0,0
S010,INT058,0,0,0.3,0.167,1,6,0,0,8.78,Tier-1,Urban,AI,Quality Assurance,0.2,20,0.667,On-site,1.0,0,0.0,0
S010,INT063,0,0,0.3,0.0,0,4,0,0,8.78,Tier-1,Urban,AI,Web Development,0.48,16,0.533,Remote,0.4,1,0.34,0
S010,INT064,0,0,0.467,0.333,1,3,0,0,8.78,Tier-1,Urban,AI,Security,0.32,28,0.933,Hybrid,0.4,0,0.0,0
S010,INT079,1,0,0.467,0.404,1,3,0,1,8.78,Tier-1,Urban,AI,Cloud Computing,0.4,30,1.0,Remote,0.4,0,0.64,0
S010,INT088,0,0,0.233,0.167,1,6,0,0,8.78,Tier-1,Urban,AI,Analytics,0.48,14,0.467,On-site,0.4,0,0.0,0
S010,INT098,1,1,0.6,0.5,2,4,0,0,8.78,Tier-1,Urban,AI,UI/UX Design,0.6,12,0.4,On-site,0.4,0,0.28,0
S010,INT102,1,1,0.3,0.099,1,6,0,0,8.78,Tier-1,Urban,AI,Finance,0.32,10,0.333,Hybrid,0.4,0,0.34,0
S010,INT108,0,0,0.2,0.0,0,2,0,0,8.78,Tier-1,Urban,AI,Cloud Services,0.6,10,0.333,Hybrid,0.4,0,0.0,0
S010,INT111,1,0,0.3,0.0,0,4,0,0,8.78,Tier-1,Urban,AI,Digital Marketing,0.32,22,0.733,On-site,0.4,0,0.0,0
S010,INT113,1,0,0.35,0.25,1,4,0,0,8.78,Tier-1,Urban,AI,Design,0.6,8,0.267,Hybrid,0.4,0,0.0,0
S010,INT116,0,0,0.633,0.5,3,6,0,0,8.78,Tier-1,Urban,AI,Network Security,0.2,6,0.2,On-site,0.4,0,0.0,0
